key                         ,input                                  ,activity10
NQQBNZBOOHHVQP-UHFFFAOYSA-N ,C1=C(SC(=N1)SC2=NN=C(S2)N)[N+](=O)[O-] ,
HEFNNWSXXWATRW-UHFFFAOYSA-N ,CC(C)CC1=CC=C(C=C1)C(C)C(=O)O          ,
