key,smiles,activity10
FNKBVTBXFLSTPB-LBPRGKRZSA-N,CCCN(CCC)[C@H]1CCc2c(F)ccc(O)c2C1,0.38501885902876004
MDMWHKZANMNXTF-UHFFFAOYSA-N,COC(=O)c1c(C)[nH]c(C)c1C(=O)c1ccccc1Cc1ccccc1,0.45792079207920794
BGMZUEKZENQUJY-UHFFFAOYSA-N,COc1cc(CC(C)N)c(OC)cc1I,0.16303630363036306
NIGWMJHCCYYCSF-UHFFFAOYSA-N,NC(Cc1ccc(Cl)cc1)C(=O)O,0.23267326732673269
OCOKWVBYZHBHLU-UHFFFAOYSA-N,CC(C)COC(=O)OCN1C(=O)CN(CCN2CC(=O)N(COC(=O)OCC(C)C)C(=O)C2)CC1=O,0.1575907590759076
MGWAVDBGNNKXQV-UHFFFAOYSA-N,CC(C)COC(=O)c1ccccc1C(=O)OCC(C)C,0.13358085808580858
UIKROCXWUNQSPJ-UHFFFAOYSA-N,CN1C(=O)CCC1c1cccnc1,0.2834983498349835
QFMDFTQOJHFVNR-UHFFFAOYSA-N,CCc1ccc(C(c2ccc(CC)cc2)C(Cl)Cl)cc1,0.8906765676567657
BJIPVHLRWSDKOS-UHFFFAOYSA-N,O=S1(=O)N(CCN2CC=C(c3c[nH]c4cc(F)ccc34)CC2)c2cccc3c2N1CCC3,0.620049504950495
GFBKORZTTCHDGY-UWVJOHFNSA-N,CN1CCN(CC/C=C2/c3ccccc3Sc3ccc(S(=O)(=O)N(C)C)cc32)CC1,0.780940594059406
USYQKCQEVBFJRP-UHFFFAOYSA-N,Brc1cccc(-c2ccccc2)c1,0.5396039603960396
HQVHOQAKMCMIIM-HXUWFJFHSA-N,Cc1c(C(=O)c2cccc3ccccc23)c2cccc3c2n1[C@H](CN1CCOCC1)CO3,0.6127062706270627
HPMRFMKYPGXPEP-UHFFFAOYSA-N,c1ccc2c(c1)OCC(C1=NCCN1)O2,0.30445544554455445
LLBLNMUONVVVPG-UHFFFAOYSA-N,OC1(c2ccc(Cl)cc2)CCN(Cc2c[nH]c3ccccc23)CC1,0.7574257425742574
WQGWDDDVZFFDIG-UHFFFAOYSA-N,Oc1cccc(O)c1O,0.056270627062706274
JPMIIZHYYWMHDT-UHFFFAOYSA-N,CCCCCCCCn1sccc1=O,0.6534653465346535
PQRRSJBLKOPVJV-UHFFFAOYSA-N,BrCC(Br)C1CCC(Br)C(Br)C1,0.48514851485148514
AQTITSBNGSVQNZ-UHFFFAOYSA-N,CC1Cc2cc3c(cc2C(c2ccc(N)cc2)=NN1)OCO3,0.41204620462046204
GTBGXKPAKVYEKJ-UHFFFAOYSA-N,C=C(C)C(=O)OCCCCCCCCCC,0.41454502593116455
CTSPAMFJBXKSOY-UHFFFAOYSA-N,Cc1c2ccncc2c(C)c2c1[nH]c1ccccc12,0.7103960396039604
WBWFIUAVMCNYPG-BQYQJAHWSA-N,Cn1c(=O)c2c(nc(/C=C/c3cccc(Cl)c3)n2C)n(C)c1=O,0.3915959453088166
QLJOSZATCBCBDR-DFKUFRTHSA-N,NC[C@@H]1O[C@H](C23CC4CC(CC(C4)C2)C3)Cc2c1ccc(O)c2O,0.37046204620462053
GYSZUJHYXCZAKI-UHFFFAOYSA-N,COc1cccc(OC)c1OCCNCC1COc2ccccc2O1,0.7021452145214521
UUSHFEVEROROSP-UHFFFAOYSA-N,CCCOC(=O)c1c(-c2ccccc2)nc(CC)c(C(=O)SCC)c1CCC,0.4049504950495049
BGIYKDUASORTBB-UHFFFAOYSA-N,O=[N+]([O-])c1ccc(-c2nc(-c3ccc(F)cc3)c(-c3ccncc3)[nH]2)cc1,0.7871287128712872
QDLHCMPXEPAAMD-ZGSWIPFCSA-N,COC[C@H]1OC(=O)c2coc3c2[C@@]1(C)C1=C(C3=O)C2CCC(=O)[C@@]2(C)C[C@H]1OC(C)=O,0.20635313531353133
YNZFUWZUGRBMHL-UHFFFAOYSA-N,OCCN1CCN(CCCN2c3ccccc3C=Cc3ccccc32)CC1,0.8778877887788777
OCAXFDULERPAJM-UHFFFAOYSA-N,CN1C2CCC1CC(OC(c1ccccc1)c1ccc(Cl)cc1)C2,0.8589108910891089
ZLCUIOWQYBYEBG-UHFFFAOYSA-N,Cc1ccc2c(c1N)C(=O)c1ccccc1C2=O,0.25330033003300334
NYKCGQQJNVPOLU-KCZVDYSFSA-N,CN(C(=O)Cc1ccc(Cl)c(Cl)c1)[C@@H]1CC[C@]2(CCCO2)C[C@H]1N1CCCC1,0.5371287128712872
IISBACLAFKSPIT-UHFFFAOYSA-N,CC(C)(c1ccc(O)cc1)c1ccc(O)cc1,0.43399339933993397
GGDBEAVVGFNWIA-UHFFFAOYSA-N,O=[N+]([O-])c1ccc2nc(N3CCNCC3)ccc2c1,0.44554455445544555
CHYBTAZWINMGHA-UHFFFAOYSA-N,CCCCCCCC[N+](CCCCCCCC)(CCCCCCCC)CCCCCCCC,1.0
ORZROTLRYOYVPB-UHFFFAOYSA-N,COC(=O)c1c(-c2cc(OC)c(OC)c(OC)c2)c2ccc(OCc3ccccn3)cc2c(=O)n1-c1ccc(N)cc1,0.5313531353135313
ASXGJMSKWNBENU-CQSZACIVSA-N,CCCN(CCC)[C@@H]1CCc2cccc(O)c2C1,0.35767326732673266
VMQJSWQUKLAPAJ-UHFFFAOYSA-N,CCCCN1CCC(n2c(=O)[nH]c3ccccc32)CC1,0.9158415841584159
IDEHCMNLNCJQST-UHFFFAOYSA-N,NCCCCCCNS(=O)(=O)c1cccc2c(Cl)cccc12,0.7821782178217822
GOTMKOSCLKVOGG-UHFFFAOYSA-N,CN1CCc2cc(Cl)c(O)cc2C(c2ccccc2)C1,0.42772277227722777
IGFHQQFPSIBGKE-UHFFFAOYSA-N,CCCCCCCCCc1ccc(O)cc1,0.8004950495049504
GKCGWXNLOYTUNC-UHFFFAOYSA-N,C1CCC(/N=C(\NC23CC4CC(CC(C4)C2)C3)N2CCOCC2)CC1,0.4034653465346535
ATYLRBXENHNROH-UHFFFAOYSA-N,Clc1ccc(C(Cl)(Cl)Cl)cc1Cl,0.5425742574257425
VHSBBVZJABQOSG-MRXNPFEDSA-N,COc1ccc(CCNC[C@@H](O)c2ccc(O)cc2)cc1OC,0.4700495049504951
NUOYMOJXFODLFN-UHFFFAOYSA-N,NCC(O)C1CCCCCCC1,0.14273927392739275
FFFWNLITWYXBHY-ZHACJKMWSA-N,CC(COc1ccc(/C=C/c2ccccc2)cc1)[N+](C)(C)C,0.6851249410655351
LKPLKUMXSAEKID-UHFFFAOYSA-N,O=[N+]([O-])c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,0.2838283828382838
MFLWLDDOGSNSKO-UHFFFAOYSA-N,C=CCOC(=O)CCCCCCCC,0.582036775106082
VPKMGDRERYMTJX-CMDGGOBGSA-N,CCC(=O)/C=C/C1C(C)=CCCC1(C)C,0.15858085808580857
QOSSAOTZNIDXMA-UHFFFAOYSA-N,C(=NC1CCCCC1)=NC1CCCCC1,0.7462871287128713
UKHFPVCOXBJPIN-UHFFFAOYSA-N,COC(=O)c1cc2c(cn1)[nH]c1ccccc12,0.34075907590759075
ULALSFRIGPMWRS-UHFFFAOYSA-N,O=[N+]([O-])c1cc([N+](=O)[O-])c2ccccc2c1,0.39455445544554457
JWZXKXIUSSIAMR-UHFFFAOYSA-N,N#CSCSC#N,0.2722772277227723
GVEPBJHOBDJJJI-UHFFFAOYSA-N,c1ccc2c(c1)-c1cccc3cccc-2c13,0.7155115511551156
DQVARXSGNFBPMB-UHFFFAOYSA-N,COc1cccc(C(=O)NCCN2CCN(c3ccc(Cl)cc3)CC2)c1,0.6047854785478547
VMWNQDUVQKEIOC-UHFFFAOYSA-N,CN1CCc2cccc3c2C1Cc1ccc(O)c(O)c1-3,0.8754125412541253
AHXGXXJEEHFHDK-UHFFFAOYSA-N,Oc1ccc2cc(SSc3ccc4cc(O)ccc4c3)ccc2c1,0.4942244224422442
VHHHONWQHHHLTI-UHFFFAOYSA-N,ClC(Cl)(Cl)C(Cl)(Cl)Cl,0.12046204620462048
YAORIDZYZDUZCM-UHFFFAOYSA-N,c1ccc(C2CC2)c(OCC2=NCCN2)c1,0.6815181518151815
OXZMQFKVNVQMLI-UHFFFAOYSA-N,COc1ccc(CCN(C)CCc2ccc(OC)c(OC)c2)cc1OC,0.9752475247524752
LDVVMCZRFWMZSG-UHFFFAOYSA-N,O=C1C2CC=CCC2C(=O)N1SC(Cl)(Cl)Cl,0.21212871287128712
MHCVYAFXPIMYRD-UHFFFAOYSA-N,c1ccc(SCCSc2ccccc2)cc1,0.5003300330033005
WDXRGPWQVHZTQJ-OSJVMJFVSA-N,C/C=C1\C(=O)C[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,0.25495049504950495
KZSNBJMYJWDVTK-UHFFFAOYSA-N,Clc1ccc(C(Cl)(Cl)Cl)c(Cl)c1,0.38333333333333336
YNZFFALZMRAPHQ-SYYKKAFVSA-N,CCCCCCC(C)(C)c1ccc([C@@H]2C[C@H](O)CC[C@H]2CCCO)c(O)c1,0.4682343234323432
XJLGXHIRSHTRPQ-UHFFFAOYSA-N,CCCn1c(=O)c2nc(C3CCCC3)[nH]c2n(CCCOC(=O)c2ccc(S(=O)(=O)F)cc2)c1=O,0.43873762376237624
WWUZIQQURGPMPG-KRWOKUGFSA-N,CCCCCCCCCCCCC/C=C/[C@@H](O)[C@@H](N)CO,0.43729372937293726
PAJPWUMXBYXFCZ-UHFFFAOYSA-N,NC1(C(=O)O)CC1,0.043894389438943894
CBEQULMOCCWAQT-WOJGMQOQSA-N,Cc1ccc(/C(=C\CN2CCCC2)c2ccccn2)cc1,0.4628712871287129
GHCCBWMZKJQGLS-UHFFFAOYSA-N,O=C(Cc1ccc(Cl)c(Cl)c1)N1CCCCC1CN1CCCC1,0.4900990099009901
JFHCDEYLWGVZMX-CMDGGOBGSA-N,CC(C)CCOC(=O)/C=C/c1ccccc1,0.1906883545497407
QQBPLXNESPTPNU-KTKRTIGZSA-N,CCCCCCCC/C=C\CCCCCCCC(=O)NCCc1ccc(O)c(O)c1,0.49504950495049505
SPHRJZBOFYIKMC-UHFFFAOYSA-N,C#CCOC(=O)C1=CCCN(C)C1,0.11592409240924091
QBDSZLJBMIMQRS-UHFFFAOYSA-N,CC(C)(c1ccccc1)c1ccc(O)cc1,0.5350660066006601
VFIDUCMKNJIJTO-UHFFFAOYSA-N,Cc1ccc(OCC(O)C(C)NC(C)C)c2c1CCC2,0.6856435643564357
QNBCPLWFVGLFHO-CYBMUJFWSA-N,CN1CCc2cc(O)cc3c2[C@H]1Cc1ccc(O)c(O)c1-3,0.3915016501650165
MTZVJHSZYMWIAG-UHFFFAOYSA-N,CCS(=O)(=O)Nc1cccc(C(=C2CCCCC2)c2c[nH]cn2)c1,0.5132013201320133
