"ChEMBL ID"     ;"Name"                                                                               ;"Synonyms"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ;"Type"           ;"Max Phase" ;"Molecular Weight" ;"Targets" ;"Bioactivities" ;"AlogP" ;"Polar Surface Area" ;"HBA"  ;"HBD"  ;"#RO5 Violations" ;"#Rotatable Bonds" ;"Passes Ro3" ;"QED Weighted" ;"CX Acidic pKa" ;"CX Basic pKa" ;"CX LogP" ;"CX LogD" ;"Aromatic Rings" ;"Structure Type" ;"Inorganic Flag" ;"Heavy Atoms" ;"HBA (Lipinski)" ;"HBD (Lipinski)" ;"#RO5 Violations (Lipinski)" ;"Molecular Weight (Monoisotopic)" ;"Np Likeness Score" ;"Molecular Species" ;"Molecular Formula" ;"Smiles"                                                                                                                                                                                                                                                                                                                  ;"Inchi Key"
"CHEMBL1256788" ;""                                                                                   ;""                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ;"Small molecule" ;""          ;"301.83"           ;"12"      ;"29"            ;"3.51"  ;"23.47"              ;"2"    ;"1"    ;"0"               ;"5"                ;"N"          ;"0.88"         ;"9.23"          ;"10.41"        ;"3.38"    ;"1.79"    ;"1"              ;"MOL"            ;"-1"             ;"19"          ;"2"              ;"1"              ;"0"                          ;"265.1842"                        ;"-0.61"             ;"BASE"              ;"C16H25ClFNO"       ;"CCCN(CCC)[C@H]1CCc2c(F)ccc(O)c2C1.Cl"                                                                                                                                                                                                                                                                                    ;"FKUVCCNCUAFKAH-YDALLXLXSA-N"
"CHEMBL93655"   ;""                                                                                   ;"FPL-64176"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ;"Small molecule" ;""          ;"347.41"           ;"44"      ;"104"           ;"4.24"  ;"59.16"              ;"3"    ;"1"    ;"0"               ;"5"                ;"N"          ;"0.55"         ;"11.41"         ;"None"         ;"5.01"    ;"5.01"    ;"3"              ;"MOL"            ;"-1"             ;"26"          ;"4"              ;"1"              ;"0"                          ;"347.1521"                        ;"-0.34"             ;"NEUTRAL"           ;"C22H21NO3"         ;"COC(=O)c1c(C)[nH]c(C)c1C(=O)c1ccccc1Cc1ccccc1"                                                                                                                                                                                                                                                                           ;"MDMWHKZANMNXTF-UHFFFAOYSA-N"
"CHEMBL1255748" ;""                                                                                   ;""                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ;"Small molecule" ;""          ;"357.62"           ;"10"      ;"16"            ;"2.20"  ;"44.48"              ;"3"    ;"1"    ;"0"               ;"4"                ;"N"          ;"0.86"         ;"None"          ;"9.90"         ;"2.42"    ;"0.02"    ;"1"              ;"MOL"            ;"-1"             ;"15"          ;"3"              ;"2"              ;"0"                          ;"321.0226"                        ;"-0.04"             ;"BASE"              ;"C11H17ClINO2"      ;"COc1cc(CC(C)N)c(OC)cc1I.Cl"                                                                                                                                                                                                                                                                                              ;"QVFDMWGKHUFODK-UHFFFAOYSA-N"
"CHEMBL1256351" ;"FENCLONINE"                                                                         ;"CP-10,188|CP-10188|FENCLONINE|NSC-77370|P-CHLOROPHENYLALANINE, DL-"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ;"Small molecule" ;"-1.0"      ;"199.64"           ;"12"      ;"22"            ;"1.29"  ;"63.32"              ;"2"    ;"2"    ;"0"               ;"3"                ;"N"          ;"0.77"         ;"1.85"          ;"9.44"         ;"-0.58"   ;"-0.58"   ;"1"              ;"MOL"            ;"0"              ;"13"          ;"3"              ;"3"              ;"0"                          ;"199.0400"                        ;"0.03"              ;"ZWITTERION"        ;"C9H10ClNO2"        ;"NC(Cc1ccc(Cl)cc1)C(=O)O"                                                                                                                                                                                                                                                                                                 ;"NIGWMJHCCYYCSF-UHFFFAOYSA-N"
"CHEMBL1256871" ;"SOBUZOXANE"                                                                         ;"SOBUZOXANE"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ;"Small molecule" ;"-1.0"      ;"514.53"           ;"28"      ;"45"            ;"-0.14" ;"152.30"             ;"12"   ;"0"    ;"2"               ;"11"               ;"N"          ;"0.27"         ;"None"          ;"3.01"         ;"0.83"    ;"0.83"    ;"0"              ;"MOL"            ;"0"              ;"36"          ;"14"             ;"0"              ;"2"                          ;"514.2275"                        ;"-0.40"             ;"NEUTRAL"           ;"C22H34N4O10"       ;"CC(C)COC(=O)OCN1C(=O)CN(CCN2CC(=O)N(COC(=O)OCC(C)C)C(=O)C2)CC1=O"                                                                                                                                                                                                                                                        ;"OCOKWVBYZHBHLU-UHFFFAOYSA-N"
"CHEMBL1370662" ;""                                                                                   ;""                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ;"Small molecule" ;""          ;"278.35"           ;"16"      ;"24"            ;"3.31"  ;"52.60"              ;"4"    ;"0"    ;"0"               ;"6"                ;"N"          ;"0.75"         ;"None"          ;"None"         ;"4.47"    ;"4.47"    ;"1"              ;"MOL"            ;"-1"             ;"20"          ;"4"              ;"0"              ;"0"                          ;"278.1518"                        ;"-0.28"             ;"None"              ;"C16H22O4"          ;"CC(C)COC(=O)c1ccccc1C(=O)OCC(C)C"                                                                                                                                                                                                                                                                                        ;"MGWAVDBGNNKXQV-UHFFFAOYSA-N"
"CHEMBL664"     ;""                                                                                   ;"Cotinine(15% of the dose)"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ;"Small molecule" ;""          ;"176.22"           ;"13"      ;"19"            ;"1.37"  ;"33.20"              ;"2"    ;"0"    ;"0"               ;"1"                ;"Y"          ;"0.65"         ;"None"          ;"4.79"         ;"0.21"    ;"0.21"    ;"1"              ;"MOL"            ;"-1"             ;"13"          ;"3"              ;"0"              ;"0"                          ;"176.0950"                        ;"-0.42"             ;"NEUTRAL"           ;"C10H12N2O"         ;"CN1C(=O)CCC1c1cccnc1"                                                                                                                                                                                                                                                                                                    ;"UIKROCXWUNQSPJ-UHFFFAOYSA-N"
"CHEMBL551883"  ;""                                                                                   ;""                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ;"Small molecule" ;""          ;"307.26"           ;"24"      ;"27"            ;"5.75"  ;"0.00"               ;"0"    ;"0"    ;"1"               ;"5"                ;"N"          ;"0.62"         ;"None"          ;"None"         ;"6.82"    ;"6.82"    ;"2"              ;"MOL"            ;"-1"             ;"20"          ;"0"              ;"0"              ;"1"                          ;"306.0942"                        ;"-0.09"             ;"None"              ;"C18H20Cl2"         ;"CCc1ccc(C(c2ccc(CC)cc2)C(Cl)Cl)cc1"                                                                                                                                                                                                                                                                                      ;"QFMDFTQOJHFVNR-UHFFFAOYSA-N"
"CHEMBL1079460" ;""                                                                                   ;"LY-367265"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ;"Small molecule" ;""          ;"452.56"           ;"60"      ;"128"           ;"3.91"  ;"59.65"              ;"3"    ;"1"    ;"0"               ;"4"                ;"N"          ;"0.65"         ;"None"          ;"7.63"         ;"3.15"    ;"2.72"    ;"3"              ;"MOL"            ;"-1"             ;"32"          ;"6"              ;"1"              ;"0"                          ;"452.1682"                        ;"-1.08"             ;"NEUTRAL"           ;"C24H25FN4O2S"      ;"O=S1(=O)N(CCN2CC=C(c3c[nH]c4cc(F)ccc34)CC2)c2cccc3c2N1CCC3"                                                                                                                                                                                                                                                              ;"BJIPVHLRWSDKOS-UHFFFAOYSA-N"
"CHEMBL1200902" ;"THIOTHIXENE HYDROCHLORIDE"                                                          ;"CP-12252-1|NAVANE|THIOTHIXENE HYDROCHLORIDE|THIOTHIXENE HYDROCHLORIDE INTENSOL"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ;"Small molecule" ;""          ;"480.10"           ;"15"      ;"30"            ;"3.47"  ;"43.86"              ;"5"    ;"0"    ;"0"               ;"5"                ;"N"          ;"0.60"         ;"None"          ;"8.16"         ;"3.36"    ;"2.54"    ;"2"              ;"MOL"            ;"-1"             ;"30"          ;"5"              ;"0"              ;"0"                          ;"443.1701"                        ;"-1.31"             ;"NEUTRAL"           ;"C23H30ClN3O2S2"    ;"CN1CCN(CC/C=C2/c3ccccc3Sc3ccc(S(=O)(=O)N(C)C)cc32)CC1.Cl"                                                                                                                                                                                                                                                                ;"ALDJVABCVUVJGI-SRJUEMFDSA-N"
"CHEMBL1899525" ;""                                                                                   ;""                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ;"Small molecule" ;""          ;"233.11"           ;"3"       ;"3"             ;"4.12"  ;"0.00"               ;"0"    ;"0"    ;"0"               ;"1"                ;"N"          ;"0.69"         ;"None"          ;"None"         ;"4.39"    ;"4.39"    ;"2"              ;"MOL"            ;"-1"             ;"13"          ;"0"              ;"0"              ;"0"                          ;"231.9888"                        ;"-0.76"             ;"None"              ;"C12H9Br"           ;"Brc1cccc(-c2ccccc2)c1"                                                                                                                                                                                                                                                                                                   ;"USYQKCQEVBFJRP-UHFFFAOYSA-N"
"CHEMBL1222317" ;""                                                                                   ;"WIN-55212-2"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ;"Small molecule" ;""          ;"522.62"           ;"51"      ;"101"           ;"4.60"  ;"43.70"              ;"5"    ;"0"    ;"0"               ;"4"                ;"N"          ;"0.45"         ;"None"          ;"6.35"         ;"4.47"    ;"4.44"    ;"4"              ;"MOL"            ;"-1"             ;"32"          ;"5"              ;"0"              ;"0"                          ;"426.1943"                        ;"-0.43"             ;"NEUTRAL"           ;"C28H30N2O6S"       ;"CS(=O)(=O)O.Cc1c(C(=O)c2cccc3ccccc23)c2cccc3c2n1[C@H](CN1CCOCC1)CO3"                                                                                                                                                                                                                                                     ;"FSGCSTPOPBJYSX-VEIFNGETSA-N"
"CHEMBL543467"  ;"IDAZOXAN HYDROCHLORIDE"                                                             ;"Idazoxan Hydrochloride"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ;"Small molecule" ;""          ;"240.69"           ;"32"      ;"60"            ;"0.83"  ;"42.85"              ;"4"    ;"1"    ;"0"               ;"1"                ;"N"          ;"0.74"         ;"None"          ;"8.62"         ;"0.77"    ;"-0.45"   ;"1"              ;"MOL"            ;"-1"             ;"15"          ;"4"              ;"1"              ;"0"                          ;"204.0899"                        ;"0.13"              ;"BASE"              ;"C11H13ClN2O2"      ;"Cl.c1ccc2c(c1)OCC(C1=NCCN1)O2"                                                                                                                                                                                                                                                                                           ;"MYUBYOVCLMEAOH-UHFFFAOYSA-N"
"CHEMBL445102"  ;""                                                                                   ;"L-741626"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ;"Small molecule" ;""          ;"340.85"           ;"72"      ;"1202"          ;"4.30"  ;"39.26"              ;"2"    ;"2"    ;"0"               ;"3"                ;"N"          ;"0.75"         ;"13.96"         ;"8.76"         ;"3.58"    ;"2.21"    ;"3"              ;"MOL"            ;"-1"             ;"24"          ;"3"              ;"2"              ;"0"                          ;"340.1342"                        ;"-0.65"             ;"BASE"              ;"C20H21ClN2O"       ;"OC1(c2ccc(Cl)cc2)CCN(Cc2c[nH]c3ccccc23)CC1"                                                                                                                                                                                                                                                                              ;"LLBLNMUONVVVPG-UHFFFAOYSA-N"
"CHEMBL307145"  ;"PYROGALLOL"                                                                         ;"NSC-5035|PYROGALLIC ACID|PYROGALLOL"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ;"Small molecule" ;"4.0"       ;"126.11"           ;"162"     ;"581"           ;"0.80"  ;"60.69"              ;"3"    ;"3"    ;"0"               ;"0"                ;"N"          ;"0.45"         ;"8.94"          ;"None"         ;"1.06"    ;"1.05"    ;"1"              ;"MOL"            ;"0"              ;"9"           ;"3"              ;"3"              ;"0"                          ;"126.0317"                        ;"0.80"              ;"NEUTRAL"           ;"C6H6O3"            ;"Oc1cccc(O)c1O"                                                                                                                                                                                                                                                                                                           ;"WQGWDDDVZFFDIG-UHFFFAOYSA-N"
"CHEMBL1562104" ;""                                                                                   ;""                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ;"Small molecule" ;""          ;"213.35"           ;"57"      ;"133"           ;"3.27"  ;"22.00"              ;"3"    ;"0"    ;"0"               ;"7"                ;"N"          ;"0.64"         ;"None"          ;"None"         ;"3.33"    ;"3.33"    ;"1"              ;"MOL"            ;"-1"             ;"14"          ;"2"              ;"0"              ;"0"                          ;"213.1187"                        ;"-0.43"             ;"None"              ;"C11H19NOS"         ;"CCCCCCCCn1sccc1=O"                                                                                                                                                                                                                                                                                                       ;"JPMIIZHYYWMHDT-UHFFFAOYSA-N"
"CHEMBL375107"  ;""                                                                                   ;""                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ;"Small molecule" ;""          ;"427.80"           ;"24"      ;"31"            ;"4.47"  ;"0.00"               ;"0"    ;"0"    ;"0"               ;"2"                ;"N"          ;"0.57"         ;"None"          ;"None"         ;"4.66"    ;"4.66"    ;"0"              ;"MOL"            ;"-1"             ;"12"          ;"0"              ;"0"              ;"0"                          ;"423.7672"                        ;"0.64"              ;"None"              ;"C8H12Br4"          ;"BrCC(Br)C1CCC(Br)C(Br)C1"                                                                                                                                                                                                                                                                                                ;"PQRRSJBLKOPVJV-UHFFFAOYSA-N"
"CHEMBL1256984" ;""                                                                                   ;"GYKI-52895"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ;"Small molecule" ;""          ;"295.34"           ;"14"      ;"27"            ;"2.28"  ;"68.87"              ;"5"    ;"2"    ;"0"               ;"1"                ;"N"          ;"0.79"         ;"None"          ;"3.73"         ;"2.62"    ;"2.62"    ;"2"              ;"MOL"            ;"-1"             ;"22"          ;"5"              ;"3"              ;"0"                          ;"295.1321"                        ;"0.29"              ;"NEUTRAL"           ;"C17H17N3O2"        ;"CC1Cc2cc3c(cc2C(c2ccc(N)cc2)=NN1)OCO3"                                                                                                                                                                                                                                                                                   ;"AQTITSBNGSVQNZ-UHFFFAOYSA-N"
"CHEMBL1578928" ;""                                                                                   ;""                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ;"Small molecule" ;""          ;"226.36"           ;"3"       ;"4"             ;"4.25"  ;"26.30"              ;"2"    ;"0"    ;"0"               ;"10"               ;"N"          ;"0.32"         ;"None"          ;"None"         ;"5.30"    ;"5.30"    ;"0"              ;"MOL"            ;"-1"             ;"16"          ;"2"              ;"0"              ;"0"                          ;"226.1933"                        ;"0.47"              ;"None"              ;"C14H26O2"          ;"C=C(C)C(=O)OCCCCCCCCCC"                                                                                                                                                                                                                                                                                                  ;"GTBGXKPAKVYEKJ-UHFFFAOYSA-N"
"CHEMBL123"     ;"ELLIPTECINE"                                                                        ;"Ellipticine|TCMDC-125546"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ;"Small molecule" ;""          ;"246.31"           ;"284"     ;"1045"          ;"4.49"  ;"28.68"              ;"1"    ;"1"    ;"0"               ;"0"                ;"N"          ;"0.49"         ;"None"          ;"5.12"         ;"3.89"    ;"3.89"    ;"4"              ;"MOL"            ;"-1"             ;"19"          ;"2"              ;"1"              ;"0"                          ;"246.1157"                        ;"0.32"              ;"NEUTRAL"           ;"C17H14N2"          ;"Cc1c2ccncc2c(C)c2c1[nH]c1ccccc12"                                                                                                                                                                                                                                                                                        ;"CTSPAMFJBXKSOY-UHFFFAOYSA-N"
"CHEMBL26138"   ;""                                                                                   ;"8-(3-Chlorostyryl)Caffeine"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ;"Small molecule" ;""          ;"330.78"           ;"38"      ;"93"            ;"1.79"  ;"61.82"              ;"6"    ;"0"    ;"0"               ;"2"                ;"N"          ;"0.72"         ;"None"          ;"None"         ;"2.62"    ;"2.62"    ;"3"              ;"MOL"            ;"-1"             ;"23"          ;"6"              ;"0"              ;"0"                          ;"330.0884"                        ;"-1.13"             ;"NEUTRAL"           ;"C16H15ClN4O2"      ;"Cn1c(=O)c2c(nc(/C=C/c3cccc(Cl)c3)n2C)n(C)c1=O"                                                                                                                                                                                                                                                                           ;"WBWFIUAVMCNYPG-BQYQJAHWSA-N"
"CHEMBL1256876" ;""                                                                                   ;"A-77636 HYDROCHLORIDE"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ;"Small molecule" ;""          ;"365.90"           ;"63"      ;"1228"          ;"3.26"  ;"75.71"              ;"4"    ;"3"    ;"0"               ;"2"                ;"N"          ;"0.73"         ;"9.54"          ;"8.85"         ;"2.57"    ;"1.42"    ;"1"              ;"MOL"            ;"-1"             ;"24"          ;"4"              ;"4"              ;"0"                          ;"329.1991"                        ;"1.28"              ;"BASE"              ;"C20H28ClNO3"       ;"Cl.NC[C@@H]1O[C@H](C23CC4CC(CC(C4)C2)C3)Cc2c1ccc(O)c2O"                                                                                                                                                                                                                                                                  ;"BWHPNJVKFAPVOG-QYFJGNGUSA-N"
"CHEMBL556001"  ;"2- (2,6-DIMETHOXYPHENOXYETHYL)AMINOMETHYL-1,4-BENZODIOXANE HYDROCHLORIDE (WB 4101)" ;""                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ;"Small molecule" ;""          ;"381.86"           ;"21"      ;"40"            ;"2.51"  ;"58.18"              ;"6"    ;"1"    ;"0"               ;"8"                ;"N"          ;"0.74"         ;"None"          ;"8.76"         ;"2.51"    ;"1.14"    ;"2"              ;"MOL"            ;"-1"             ;"25"          ;"6"              ;"1"              ;"0"                          ;"345.1576"                        ;"-0.20"             ;"BASE"              ;"C19H24ClNO5"       ;"COc1cccc(OC)c1OCCNCC1COc2ccccc2O1.Cl"                                                                                                                                                                                                                                                                                    ;"KAHMEWANVDFFCQ-UHFFFAOYSA-N"
"CHEMBL111545"  ;""                                                                                   ;"MRS-1523"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ;"Small molecule" ;""          ;"399.56"           ;"45"      ;"105"           ;"5.72"  ;"56.26"              ;"5"    ;"0"    ;"1"               ;"9"                ;"N"          ;"0.50"         ;"None"          ;"3.69"         ;"6.92"    ;"6.92"    ;"2"              ;"MOL"            ;"-1"             ;"28"          ;"4"              ;"0"              ;"1"                          ;"399.1868"                        ;"-0.54"             ;"NEUTRAL"           ;"C23H29NO3S"        ;"CCCOC(=O)c1c(-c2ccccc2)nc(CC)c(C(=O)SCC)c1CCC"                                                                                                                                                                                                                                                                           ;"UUSHFEVEROROSP-UHFFFAOYSA-N"
"CHEMBL17331"   ;"PD-169316"                                                                          ;"PD-169316"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ;"Small molecule" ;""          ;"360.35"           ;"300"     ;"618"           ;"4.85"  ;"84.71"              ;"4"    ;"1"    ;"0"               ;"4"                ;"N"          ;"0.42"         ;"11.75"         ;"5.12"         ;"4.34"    ;"4.34"    ;"4"              ;"MOL"            ;"-1"             ;"27"          ;"6"              ;"1"              ;"0"                          ;"360.1023"                        ;"-1.40"             ;"NEUTRAL"           ;"C20H13FN4O2"       ;"O=[N+]([O-])c1ccc(-c2nc(-c3ccc(F)cc3)c(-c3ccncc3)[nH]2)cc1"                                                                                                                                                                                                                                                              ;"BGIYKDUASORTBB-UHFFFAOYSA-N"
"CHEMBL295038"  ;""                                                                                   ;""                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ;"Small molecule" ;""          ;"428.44"           ;"41"      ;"111"           ;"2.54"  ;"109.11"             ;"8"    ;"0"    ;"0"               ;"3"                ;"N"          ;"0.68"         ;"None"          ;"None"         ;"1.44"    ;"1.44"    ;"1"              ;"MOL"            ;"-1"             ;"31"          ;"8"              ;"0"              ;"0"                          ;"428.1471"                        ;"2.59"              ;"NEUTRAL"           ;"C23H24O8"          ;"COC[C@H]1OC(=O)c2coc3c2[C@@]1(C)C1=C(C3=O)C2CCC(=O)[C@@]2(C)C[C@H]1OC(C)=O"                                                                                                                                                                                                                                              ;"QDLHCMPXEPAAMD-ZGSWIPFCSA-N"
"CHEMBL1524185" ;"OPIPRAMOL HYDROCHLORIDE"                                                            ;"G-33040|INSIDON|OPIPRAMOL DIHYDROCHLORIDE|OPIPRAMOL HCL|OPIPRAMOL HYDROCHLORIDE"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ;"Small molecule" ;"-1.0"      ;"436.43"           ;"30"      ;"88"            ;"3.31"  ;"29.95"              ;"4"    ;"1"    ;"0"               ;"6"                ;"N"          ;"0.85"         ;"None"          ;"7.86"         ;"3.24"    ;"2.65"    ;"2"              ;"MOL"            ;"0"              ;"27"          ;"4"              ;"1"              ;"0"                          ;"363.2311"                        ;"-0.52"             ;"NEUTRAL"           ;"C23H31Cl2N3O"      ;"Cl.Cl.OCCN1CCN(CCCN2c3ccccc3C=Cc3ccccc32)CC1"                                                                                                                                                                                                                                                                            ;"DLTOEESOSYKJBK-UHFFFAOYSA-N"
"CHEMBL540034"  ;""                                                                                   ;""                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ;"Small molecule" ;""          ;"378.34"           ;"19"      ;"31"            ;"5.07"  ;"12.47"              ;"2"    ;"0"    ;"1"               ;"4"                ;"N"          ;"0.77"         ;"None"          ;"9.54"         ;"4.79"    ;"2.67"    ;"2"              ;"MOL"            ;"-1"             ;"24"          ;"2"              ;"0"              ;"1"                          ;"341.1546"                        ;"-0.10"             ;"BASE"              ;"C21H25Cl2NO"       ;"CN1C2CCC1CC(OC(c1ccccc1)c1ccc(Cl)cc1)C2.Cl"                                                                                                                                                                                                                                                                              ;"FXKCQWIUITUJFU-UHFFFAOYSA-N"
"CHEMBL1413787" ;""                                                                                   ;""                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ;"Small molecule" ;""          ;"237.26"           ;"38"      ;"60"            ;"2.35"  ;"60.16"              ;"3"    ;"1"    ;"0"               ;"0"                ;"N"          ;"0.61"         ;"None"          ;"1.50"         ;"3.25"    ;"3.25"    ;"2"              ;"MOL"            ;"-1"             ;"18"          ;"3"              ;"2"              ;"0"                          ;"237.0790"                        ;"0.22"              ;"NEUTRAL"           ;"C15H11NO2"         ;"Cc1ccc2c(c1N)C(=O)c1ccccc1C2=O"                                                                                                                                                                                                                                                                                          ;"ZLCUIOWQYBYEBG-UHFFFAOYSA-N"
"CHEMBL1256770" ;""                                                                                   ;""                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ;"Small molecule" ;""          ;"521.51"           ;"9"       ;"15"            ;"4.56"  ;"32.78"              ;"3"    ;"0"    ;"0"               ;"4"                ;"N"          ;"0.71"         ;"None"          ;"9.76"         ;"3.81"    ;"1.48"    ;"1"              ;"MOL"            ;"-1"             ;"28"          ;"4"              ;"0"              ;"0"                          ;"424.1684"                        ;"-0.12"             ;"BASE"              ;"C23H34Cl2N2O5S"    ;"CN(C(=O)Cc1ccc(Cl)c(Cl)c1)[C@@H]1CC[C@]2(CCCO2)C[C@H]1N1CCCC1.CS(=O)(=O)O"                                                                                                                                                                                                                                               ;"FHEZDPDAYTVKKG-XLTSWDRCSA-N"
