"ChEMBL ID"     ;"Name"                                                                               ;"Synonyms"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ;"Type"           ;"Max Phase" ;"Molecular Weight" ;"Targets" ;"Bioactivities" ;"AlogP" ;"Polar Surface Area" ;"HBA"  ;"HBD"  ;"#RO5 Violations" ;"#Rotatable Bonds" ;"Passes Ro3" ;"QED Weighted" ;"CX Acidic pKa" ;"CX Basic pKa" ;"CX LogP" ;"CX LogD" ;"Aromatic Rings" ;"Structure Type" ;"Inorganic Flag" ;"Heavy Atoms" ;"HBA (Lipinski)" ;"HBD (Lipinski)" ;"#RO5 Violations (Lipinski)" ;"Molecular Weight (Monoisotopic)" ;"Np Likeness Score" ;"Molecular Species" ;"Molecular Formula" ;"Smiles"                                                                                                                                                                                                                                                                                                                  ;"Inchi Key"
"CHEMBL1487948" ;""                                                                                   ;""                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ;"Small molecule" ;""          ;"301.52"           ;"35"      ;"55"            ;"4.15"  ;"66.48"              ;"3"    ;"3"    ;"0"               ;"16"               ;"N"          ;"0.38"         ;"None"          ;"9.29"         ;"4.77"    ;"2.91"    ;"0"              ;"MOL"            ;"-1"             ;"21"          ;"3"              ;"4"              ;"0"                          ;"301.2981"                        ;"1.04"              ;"BASE"              ;"C18H39NO2"         ;"CCCCCCCCCCCCCCC[C@H](O)[C@H](N)CO"                                                                                                                                                                                                                                                                                       ;"OTKJDMGTUTTYMP-MSOLQXFVSA-N"
"CHEMBL374400"  ;""                                                                                   ;"2,2',4,4',5 Pentabromodiphenyl Ether"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ;"Small molecule" ;""          ;"564.69"           ;"28"      ;"51"            ;"7.29"  ;"9.23"               ;"1"    ;"0"    ;"2"               ;"2"                ;"N"          ;"0.35"         ;"None"          ;"None"         ;"7.32"    ;"7.32"    ;"2"              ;"MOL"            ;"-1"             ;"18"          ;"1"              ;"0"              ;"2"                          ;"559.6257"                        ;"-0.08"             ;"NEUTRAL"           ;"C12H5Br5O"         ;"Brc1ccc(Oc2cc(Br)c(Br)cc2Br)c(Br)c1"                                                                                                                                                                                                                                                                                     ;"WHPVYXDFIXRKLN-UHFFFAOYSA-N"
"CHEMBL44072"   ;"ENDRIN"                                                                             ;""                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ;"Small molecule" ;""          ;"380.91"           ;"19"      ;"58"            ;"4.48"  ;"12.53"              ;"1"    ;"0"    ;"0"               ;"0"                ;"N"          ;"0.34"         ;"None"          ;"None"         ;"3.95"    ;"3.95"    ;"0"              ;"MOL"            ;"-1"             ;"19"          ;"1"              ;"0"              ;"0"                          ;"377.8706"                        ;"0.68"              ;"NEUTRAL"           ;"C12H8Cl6O"         ;"ClC1=C(Cl)C2(Cl)C3C4CC(C5OC45)C3C1(Cl)C2(Cl)Cl"                                                                                                                                                                                                                                                                          ;"DFBKLUNHFCTMDC-UHFFFAOYSA-N"
"CHEMBL1257083" ;""                                                                                   ;"Ro-84304"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ;"Small molecule" ;""          ;"406.89"           ;"6"       ;"13"            ;"2.45"  ;"75.79"              ;"4"    ;"2"    ;"0"               ;"7"                ;"N"          ;"0.79"         ;"13.97"         ;"7.94"         ;"2.36"    ;"1.71"    ;"2"              ;"MOL"            ;"-1"             ;"27"          ;"5"              ;"3"              ;"0"                          ;"370.1693"                        ;"-1.04"             ;"NEUTRAL"           ;"C21H24ClFN2O3"     ;"Cl.NC(=O)c1ccc(OCC(O)CN2CC=C(c3ccc(F)cc3)CC2)cc1"                                                                                                                                                                                                                                                                        ;"MQOXWHKUQOFFJW-UHFFFAOYSA-N"
"CHEMBL1473941" ;""                                                                                   ;""                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ;"Small molecule" ;""          ;"425.11"           ;"20"      ;"30"            ;"1.85"  ;"145.30"             ;"5"    ;"4"    ;"0"               ;"3"                ;"N"          ;"0.46"         ;"None"          ;"7.07"         ;"2.32"    ;"2.16"    ;"2"              ;"MOL"            ;"-1"             ;"24"          ;"8"              ;"7"              ;"1"                          ;"387.0169"                        ;"-0.99"             ;"NEUTRAL"           ;"C13H13Cl4N7O"      ;"Cl.N/C(=N\C(=O)c1nc(Cl)c(N)nc1N)NCc1ccc(Cl)c(Cl)c1"                                                                                                                                                                                                                                                                      ;"LPHAOBPPRPXQLQ-UHFFFAOYSA-N"
"CHEMBL1256797" ;""                                                                                   ;"BRL-54443"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ;"Small molecule" ;""          ;"346.38"           ;"13"      ;"25"            ;"2.68"  ;"39.26"              ;"2"    ;"2"    ;"0"               ;"1"                ;"Y"          ;"0.79"         ;"9.74"          ;"9.00"         ;"1.75"    ;"0.48"    ;"2"              ;"MOL"            ;"-1"             ;"17"          ;"3"              ;"2"              ;"0"                          ;"230.1419"                        ;"-0.02"             ;"BASE"              ;"C18H22N2O5"        ;"CN1CCC(c2c[nH]c3ccc(O)cc23)CC1.O=C(O)/C=C\C(=O)O"                                                                                                                                                                                                                                                                        ;"INGCLXPSKXSYND-BTJKTKAUSA-N"
"CHEMBL336467"  ;"FUROXAN"                                                                            ;"Furoxan"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ;"Small molecule" ;""          ;"187.16"           ;"41"      ;"117"           ;"0.85"  ;"76.76"              ;"4"    ;"0"    ;"0"               ;"1"                ;"N"          ;"0.62"         ;"None"          ;"None"         ;"0.42"    ;"0.42"    ;"2"              ;"MOL"            ;"-1"             ;"14"          ;"5"              ;"0"              ;"0"                          ;"187.0382"                        ;"-1.07"             ;"NEUTRAL"           ;"C9H5N3O2"          ;"N#Cc1c(-c2ccccc2)no[n+]1[O-]"                                                                                                                                                                                                                                                                                            ;"PMYJGTWUVVVOFO-UHFFFAOYSA-N"
"CHEMBL1486918" ;"QUINELORANE HYDROCHLORIDE"                                                          ;"LY-163502|LY163502|QUINELORANE HYDROCHLORIDE"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ;"Small molecule" ;"-1.0"      ;"319.28"           ;"8"       ;"13"            ;"1.65"  ;"55.04"              ;"4"    ;"1"    ;"0"               ;"2"                ;"N"          ;"0.86"         ;"None"          ;"9.60"         ;"1.76"    ;"-0.41"   ;"1"              ;"MOL"            ;"0"              ;"18"          ;"4"              ;"2"              ;"0"                          ;"246.1844"                        ;"-0.03"             ;"BASE"              ;"C14H24Cl2N4"       ;"CCCN1CCC[C@@H]2Cc3nc(N)ncc3C[C@H]21.Cl.Cl"                                                                                                                                                                                                                                                                               ;"WDEMLQIGYYLRRX-OWVUFADGSA-N"
"CHEMBL828"     ;"PHENOTHIAZINE"                                                                      ;"10H-PHENOTHIAZINE|CONTAVERM|DANIKOROPA|ENT 38|ENT-38|FENOVERM|NSC-2037|Nemazine|PHENOTHIAZINE|PHENTHIAZINE|THIODIPHENYLAMINE"                                                                                                                                                                                                                                                                                                                                                                                                                                                ;"Small molecule" ;"-1.0"      ;"199.28"           ;"169"     ;"951"           ;"3.89"  ;"12.03"              ;"2"    ;"1"    ;"0"               ;"0"                ;"N"          ;"0.59"         ;"None"          ;"None"         ;"3.63"    ;"3.63"    ;"2"              ;"MOL"            ;"0"              ;"14"          ;"1"              ;"1"              ;"0"                          ;"199.0456"                        ;"-0.71"             ;"NEUTRAL"           ;"C12H9NS"           ;"c1ccc2c(c1)Nc1ccccc1S2"                                                                                                                                                                                                                                                                                                  ;"WJFKNYWRSNBZNX-UHFFFAOYSA-N"
"CHEMBL82846"   ;""                                                                                   ;""                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ;"Small molecule" ;""          ;"267.16"           ;"17"      ;"25"            ;"3.75"  ;"52.04"              ;"2"    ;"2"    ;"0"               ;"2"                ;"N"          ;"0.81"         ;"None"          ;"3.10"         ;"3.62"    ;"3.62"    ;"2"              ;"MOL"            ;"-1"             ;"17"          ;"2"              ;"4"              ;"0"                          ;"266.0378"                        ;"-0.38"             ;"NEUTRAL"           ;"C13H12Cl2N2"       ;"Nc1ccc(Cc2ccc(N)c(Cl)c2)cc1Cl"                                                                                                                                                                                                                                                                                           ;"IBOFVQJTBBUKMU-UHFFFAOYSA-N"
"CHEMBL1256180" ;"5-(N-METHYL-N-ISOBUTYL)AMILORIDE"                                                   ;""                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ;"Small molecule" ;""          ;"299.77"           ;"27"      ;"54"            ;"0.22"  ;"136.51"             ;"5"    ;"3"    ;"0"               ;"4"                ;"N"          ;"0.53"         ;"None"          ;"7.12"         ;"1.29"    ;"1.11"    ;"1"              ;"MOL"            ;"-1"             ;"20"          ;"8"              ;"6"              ;"1"                          ;"299.1261"                        ;"-0.90"             ;"NEUTRAL"           ;"C11H18ClN7O"       ;"CC(C)CN(C)c1nc(N)c(C(=O)N=C(N)N)nc1Cl"                                                                                                                                                                                                                                                                                   ;"RVIUMPLAOXSSGN-UHFFFAOYSA-N"
"CHEMBL1515334" ;""                                                                                   ;""                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ;"Small molecule" ;""          ;"324.23"           ;"9"       ;"16"            ;"0.47"  ;"85.08"              ;"4"    ;"2"    ;"0"               ;"4"                ;"N"          ;"0.83"         ;"10.09"         ;"9.08"         ;"-0.51"   ;"-1.94"   ;"2"              ;"MOL"            ;"-1"             ;"17"          ;"5"              ;"3"              ;"0"                          ;"251.0728"                        ;"-1.40"             ;"BASE"              ;"C11H15Cl2N3O2S"    ;"Cl.Cl.NCCNS(=O)(=O)c1cccc2cnccc12"                                                                                                                                                                                                                                                                                       ;"HBLCYSFLYMHCBM-UHFFFAOYSA-N"
"CHEMBL1325152" ;""                                                                                   ;""                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ;"Small molecule" ;""          ;"216.28"           ;"20"      ;"30"            ;"4.89"  ;"0.00"               ;"0"    ;"0"    ;"0"               ;"0"                ;"N"          ;"0.37"         ;"None"          ;"None"         ;"4.80"    ;"4.80"    ;"4"              ;"MOL"            ;"-1"             ;"17"          ;"0"              ;"0"              ;"0"                          ;"216.0939"                        ;"-0.05"             ;"None"              ;"C17H12"            ;"Cc1ccc2ccc3cccc4ccc1c2c34"                                                                                                                                                                                                                                                                                               ;"KBSPJIWZDWBDGM-UHFFFAOYSA-N"
"CHEMBL1256359" ;"ALAPROCLATE HYDROCHLORIDE"                                                          ;"Alaproclate Hydrochloride"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ;"Small molecule" ;""          ;"292.21"           ;"13"      ;"26"            ;"2.55"  ;"52.32"              ;"3"    ;"1"    ;"0"               ;"4"                ;"N"          ;"0.84"         ;"None"          ;"7.34"         ;"2.88"    ;"2.61"    ;"1"              ;"MOL"            ;"-1"             ;"17"          ;"3"              ;"2"              ;"0"                          ;"255.1026"                        ;"-0.34"             ;"NEUTRAL"           ;"C13H19Cl2NO2"      ;"CC(N)C(=O)OC(C)(C)Cc1ccc(Cl)cc1.Cl"                                                                                                                                                                                                                                                                                      ;"OPAKSOWFKIUFNP-UHFFFAOYSA-N"
