smiles,Standardized_SMILES
CCCCCCCCC1=CC=C(NC(=O)[C@@H](N)[C@@H](O)CC)C=C1,CCCCCCCCc1ccc(NC(=O)[C@@H](N)[C@@H](O)CC)cc1
CC(C)N(CCC1(C2=CC=CC=C2)C(=O)NCN2CCCCC12)C(C)C,CC(C)N(CCC1(c2ccccc2)C(=O)NCN2CCCCC21)C(C)C
COC1=CC=C(C(=O)N2CCC3(CC2)CCN(C2=CC=NC=C2)CC3)C=C1,COc1ccc(C(=O)N2CCC3(CC2)CCN(c2ccncc2)CC3)cc1
CNC(=O)CC1=CC=C(C(=O)NC2=CC=CC(C3=CC=C(C4=NC5=CC=CC(C)=C5N4)S3)=C2)C=C1,CNC(=O)Cc1ccc(C(=O)Nc2cccc(-c3ccc(-c4nc5cccc(C)c5[nH]4)s3)c2)cc1
CC1=CC(NC(=O)C2=CN=C3C(C(F)(F)F)=CC=CC3=C2O)=NO1,Cc1cc(NC(=O)c2c[nH]c3c(C(F)(F)F)cccc3c2=O)no1
CS(=O)(=O)N(C1=CC(C(F)(F)P(=O)(O)O)=CC=C1/C=C/C1=CC=CC=C1)S(C)(=O)=O,CS(=O)(=O)N(c1cc(C(F)(F)P(=O)(O)O)ccc1/C=C/c1ccccc1)S(C)(=O)=O
O=S(=O)(C1=CC=CC(C2=NN3C(=N2)C2=CC=CC=C2N=C3O)=C1)N1CCCC1,O=c1[nH]c2ccccc2c2nc(-c3cccc(S(=O)(=O)N4CCCC4)c3)nn12
N#CC1=CC=C(S(=O)(=O)N2CCN(C3=NC=CC=C3C(F)(F)F)CC2)C=C1,N#Cc1ccc(S(=O)(=O)N2CCN(c3ncccc3C(F)(F)F)CC2)cc1
CS(=O)(=O)O.C[C@H]1CN(C2=C(F)C=C3C(=O)C(C(=O)O)=CN(C45CC(C4)C5)C3=C2F)C[C@H]1CN,C[C@H]1CN(c2c(F)cc3c(=O)c(C(=O)O)cn(C45CC(C4)C5)c3c2F)C[C@H]1CN
CC#CC1=CN=CC(C2=CSC([C@@H]3C[C@@H](C4=C(C)ON=C4C)SC(N)=N3)=C2)=C1,CC#Cc1cncc(-c2csc([C@@H]3C[C@@H](c4c(C)noc4C)SC(N)=N3)c2)c1
CCCCC(C)(O)C1CCC(N2C(=O)CC3=CC(OC)=C(OC(C)C)C=C3C2C2=CC=C(Cl)C=C2)CC1,CCCCC(C)(O)C1CCC(N2C(=O)Cc3cc(OC)c(OC(C)C)cc3C2c2ccc(Cl)cc2)CC1
